iter	Passed	Remaining
971	15430	444
972	15444	428
973	15458	412
974	15470	396
975	15482	380
976	15495	364
977	15510	348
978	15523	332
979	15535	317
980	15548	301
981	15560	285
982	15573	269
983	15586	253
984	15601	237
985	15623	221
986	15637	205
987	15649	190
988	15661	174
989	15673	158
990	15686	142
991	15700	126
992	15714	110
993	15727	94
994	15740	79
995	15754	63
996	15767	47
997	15780	31
998	15795	15
999	15811	0
